case_id,case_type,disputed_amount,court_level,taxpayer_category,legal_grounds,case_duration_days,prior_compliance_score,representation,num_prior_disputes,taxpayer_risk_score,outcome
KRA-CASE-00001,Withholding Tax,11177540.26,High Court,Individual,Statute of Limitations,1538,13,Legal Counsel,2,75,0
KRA-CASE-00002,Excise Duty,3226678.81,Tax Appeals Tribunal,Individual,Procedural Error,1179,25,Legal Counsel,13,28,0
KRA-CASE-00003,Excise Duty,58947105.1,High Court,Individual,Statute of Limitations,1459,54,Legal Counsel,4,27,1
KRA-CASE-00004,Customs Duty,10265917.14,Tax Appeals Tribunal,SME,Exemption Claim,1266,33,Tax Consultant,14,68,1
KRA-CASE-00005,VAT,97312920.61,Tax Appeals Tribunal,SME,Exemption Claim,1212,24,Legal Counsel,1,84,0
KRA-CASE-00006,Income Tax,77318180.66,Court of Appeal,Multinational,Incorrect Assessment,808,35,Legal Counsel,11,20,1
KRA-CASE-00007,Customs Duty,35559306.49,High Court,Large Corporation,Incorrect Assessment,1277,81,Self-Represented,7,20,1
KRA-CASE-00008,Excise Duty,37976571.4,Court of Appeal,Large Corporation,Double Taxation,1432,41,Tax Consultant,1,29,1
KRA-CASE-00009,VAT,80514327.79,Tax Appeals Tribunal,Individual,Exemption Claim,465,83,Legal Counsel,14,18,1
KRA-CASE-00010,Customs Duty,14006050.44,High Court,SME,Valuation Dispute,1225,51,Legal Counsel,4,65,1
KRA-CASE-00011,Excise Duty,9136395.75,Tax Appeals Tribunal,Individual,Statute of Limitations,1652,87,Legal Counsel,2,49,1
KRA-CASE-00012,Excise Duty,59609048.41,Tax Appeals Tribunal,SME,Procedural Error,1423,92,Self-Represented,8,98,0
KRA-CASE-00013,Withholding Tax,34050538.53,Tax Appeals Tribunal,Individual,Procedural Error,1508,92,Legal Counsel,5,64,1
KRA-CASE-00014,VAT,87058331.06,Tax Appeals Tribunal,Large Corporation,Double Taxation,343,47,Tax Consultant,0,76,0
KRA-CASE-00015,Customs Duty,48886140.52,Tax Appeals Tribunal,SME,Transfer Pricing Dispute,520,7,Legal Counsel,2,10,1
KRA-CASE-00016,Withholding Tax,48624746.81,Tax Appeals Tribunal,Large Corporation,Statute of Limitations,292,84,Legal Counsel,5,33,1
KRA-CASE-00017,PAYE,87249682.46,Tax Appeals Tribunal,Individual,Double Taxation,1490,39,Legal Counsel,11,56,1
KRA-CASE-00018,PAYE,45176039.83,Tax Appeals Tribunal,Individual,Procedural Error,1234,70,Legal Counsel,7,0,1
KRA-CASE-00019,VAT,70798702.61,Tax Appeals Tribunal,Individual,Procedural Error,1790,42,Self-Represented,7,35,1
KRA-CASE-00020,Withholding Tax,48567179.19,Tax Appeals Tribunal,Large Corporation,Input Tax Credit,527,100,Legal Counsel,13,24,1
