doc_id,doc_type,text
DOC-TAN-00000,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Mitchell-Santiago
PIN: A87609112268B
Date: 2025-07-05
Reference: KRA/hC/3319/6823

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 31,989,368.58 for the period ending 2025-07-08.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00001,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Hawkins LLC
PIN: A83877162183B
Date: 2024-11-11
Reference: KRA/Cr/4218/0380

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 13,787,714.45 for the period ending 2025-09-05.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00002,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Carrillo, Riggs and White
PIN: A26840858889B
Date: 2024-12-07
Reference: KRA/TN/1414/4977

Pursuant to Regulation 15 of the VAT Regulations 2017, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 36,836,737.15 for the period ending 2025-09-20.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00003,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Holmes Group
PIN: A52388372409B
Date: 2025-04-02
Reference: KRA/JO/7484/3599

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 44,614,369.41 for the period ending 2025-10-22.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00004,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Howell-Nicholson
PIN: A03301044401B
Date: 2026-06-24
Reference: KRA/ht/0358/6824

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 21,124,994.89 for the period ending 2026-01-29.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00005,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Fry, Peters and Brooks
PIN: A45377871661B
Date: 2026-02-14
Reference: KRA/Kf/3186/9278

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of Excise Duty has assessed additional tax liability of KES 10,970,966.84 for the period ending 2025-07-02.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00006,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Jordan PLC
PIN: A74660256761B
Date: 2026-04-17
Reference: KRA/Kn/4529/0373

Pursuant to Section 47 of the Income Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Withholding Tax has assessed additional tax liability of KES 1,375,471.69 for the period ending 2025-10-30.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00007,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Morris-Gray
PIN: A77442524938B
Date: 2026-05-20
Reference: KRA/mW/6190/8559

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of PAYE has assessed additional tax liability of KES 32,511,727.67 for the period ending 2026-03-02.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00008,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Francis-Sanders
PIN: A17077620736B
Date: 2025-09-12
Reference: KRA/vr/7804/2219

Pursuant to Section 37 of the Tax Procedures Act, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 11,061,009.07 for the period ending 2026-03-12.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00009,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Mcdonald and Sons
PIN: A22738931908B
Date: 2025-12-20
Reference: KRA/vj/9560/7274

Pursuant to Section 31 of the Value Added Tax Act, you are hereby notified that following a review of your tax returns, the Commissioner of Income Tax has assessed additional tax liability of KES 40,481,051.31 for the period ending 2026-05-24.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00010,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Rowland-Fields
PIN: A89376926869B
Date: 2024-11-30
Reference: KRA/zZ/7195/9728

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of Customs Duty has assessed additional tax liability of KES 34,922,062.78 for the period ending 2026-02-22.

You are required to pay the assessed amount within thirty (30) days of this notice."
DOC-TAN-00011,Tax Assessment Notice,"KENYA REVENUE AUTHORITY
TAX ASSESSMENT NOTICE

To: Freeman and Sons
PIN: A68439777411B
Date: 2024-10-19
Reference: KRA/Rl/4411/8417

Pursuant to Section 12 of the Tax Appeals Tribunal Act, you are hereby notified that following a review of your tax returns, the Commissioner of VAT has assessed additional tax liability of KES 7,816,201.02 for the period ending 2025-08-01.

You are required to pay the assessed amount within thirty (30) days of this notice."
